are_unimpressed_with	animations/Stand/Waiting/Waddle_2, animations/Stand/Waiting/ScratchBottom_1, animations/Stand/Gestures/Maybe_1, animations/Stand/Gestures/Desperate_4, animations/Stand/Gestures/IDontKnow_2, animations/Stand/Gestures/WhatSThis_13, animations/Stand/Gestures/WhatSThis_16, animations/Stand/Gestures/YouKnowWhat_4, animations/Stand/Gestures/IDontKnow_3	animations/Stand/Waiting/Waddle_2, animations/Stand/Waiting/ScratchBottom_1, animations/Stand/Gestures/Maybe_1, animations/Stand/Gestures/Desperate_4, animations/Stand/Gestures/IDontKnow_2, animations/Stand/Gestures/WhatSThis_13, animations/Stand/Gestures/WhatSThis_16, animations/Stand/Gestures/YouKnowWhat_4, animations/Stand/Gestures/IDontKnow_3
fail_to_impress		
cry_for		
are_abandoned_by	animations/Stand/Emotions/Neutral/Innocent_1, animations/Stand/Emotions/Neutral/Lonely_1	animations/Stand/Emotions/Neutral/Innocent_1, animations/Stand/Emotions/Neutral/Lonely_1
abandon	animations/Stand/Gestures/IDontKnow_4	animations/Stand/Gestures/IDontKnow_4
anger		
cause_trouble_for		
campaign_against		
rise_against		
rebel_against		
are_booed_by	animations/Stand/Emotions/Positive/Shy_2	animations/Stand/Emotions/Positive/Shy_2
overthrow		
are_overthrown_by		
are_deposed_by		
fight	animations/Stand/Waiting/ShowMuscles_5	animations/Stand/Waiting/ShowMuscles_5
are_fought_by		
fight_with	animations/Stand/Waiting/ShowMuscles_5	animations/Stand/Waiting/ShowMuscles_5
fight_against	animations/Stand/Waiting/ShowMuscles_5	animations/Stand/Waiting/ShowMuscles_5
are_intimidated_by	animations/Stand/Emotions/Positive/Shy_2, animations/Stand/Emotions/Neutral/Innocent_1	animations/Stand/Emotions/Positive/Shy_2, animations/Stand/Emotions/Neutral/Innocent_1
intimidate		
intimidate_with		
threaten_with		
threaten		
are_threatened_by	animations/Stand/Emotions/Positive/Shy_2	animations/Stand/Emotions/Positive/Shy_2
reject	animations/Stand/Gestures/WhatSThis_16	animations/Stand/Gestures/WhatSThis_16
are_rejected_by		
